CVEGEO,local_I,p_sim,quadrant,cluster
12034,-0.008177237000747758,0.394,LH,ns
12035,0.07428020796660563,0.219,HH,ns
12036,0.011638767073920479,0.419,HH,ns
12037,-0.002564958353132708,0.348,LH,ns
12038,0.5685669388033343,0.074,LL,ns
12039,0.09658930023485007,0.265,LL,ns
12040,-0.0754579728109558,0.359,HL,ns
12041,0.8632734484092471,0.102,LL,ns
12042,0.2284142950341018,0.208,HH,ns
12043,0.1812312966497903,0.113,LL,ns
12044,0.005741139948346845,0.486,HH,ns
12045,0.0004065183362398234,0.251,LL,ns
12046,0.08462669030999924,0.351,HH,ns
12047,-0.04425867172342793,0.293,LH,ns
12048,0.8639315418416363,0.059,LL,ns
12049,0.012068885574242636,0.493,HH,ns
12050,-0.10889014103613702,0.244,HL,ns
12051,-0.05699790466016896,0.367,HL,ns
12052,-0.02279014320200346,0.042,HL,HL
12053,0.052535339433937595,0.193,LL,ns
12054,0.12247151760910195,0.198,LL,ns
12055,0.048221206432729875,0.363,HH,ns
12056,0.027879518880546926,0.375,LL,ns
12057,0.6341847087883815,0.064,LL,ns
12058,0.007839246358122795,0.455,HH,ns
12059,-0.08477472725927884,0.157,LH,ns
12060,0.0539792959675047,0.329,HH,ns
12061,0.09476325080815307,0.214,HH,ns
12062,-0.06939058644745473,0.207,HL,ns
12063,0.46818661188899624,0.092,LL,ns
12064,0.013680378421678937,0.473,HH,ns
12065,0.12348346598043634,0.094,LL,ns
12066,0.1006642340873024,0.217,LL,ns
12067,0.02799623701154005,0.477,HH,ns
12068,0.06740221641769786,0.363,LL,ns
12069,0.05238859553355639,0.146,LL,ns
12070,0.058486440829509365,0.133,LL,ns
12071,-0.002046169906209436,0.29,HL,ns
12072,0.11643051868837768,0.186,LL,ns
12073,0.22018542563320828,0.144,LL,ns
12074,0.3344439079838803,0.176,HH,ns
12075,0.03835448330779585,0.327,HH,ns
12076,0.09724029302797554,0.213,LL,ns
12077,0.00702363440521015,0.39,LL,ns
12078,0.05949092143420622,0.402,LL,ns
12079,0.11822532072657185,0.281,HH,ns
12080,-0.042802463929037596,0.482,LH,ns
12081,0.4493257756707569,0.062,LL,ns
12082,-0.009152905483420654,0.288,HL,ns
12083,0.36471757180278763,0.299,LL,ns
12084,0.6208953262315314,0.069,LL,ns
12085,0.0401932002188366,0.296,LL,ns
13001,0.011990791850568564,0.371,LL,ns
13002,0.003838145653941826,0.406,LL,ns
13003,0.08288179635600895,0.107,HH,ns
13004,0.18147204773594905,0.215,LL,ns
13005,1.49941000241723,0.001,HH,HH
13006,0.09701105733221148,0.185,HH,ns
13007,0.16928438056764983,0.128,HH,ns
13008,0.2756031702817177,0.011,HH,HH
13009,0.058464686573964995,0.376,HH,ns
13010,1.7020333142200412,0.002,HH,HH
13011,0.03506266287112451,0.377,HH,ns
13012,-0.03201638891985537,0.188,HL,ns
13013,1.8561280286270847,0.001,HH,HH
13014,-0.026573535054987142,0.103,HL,ns
13015,0.28524072925150873,0.075,LL,ns
13016,0.18073248600926775,0.248,HH,ns
13017,0.36151775644782486,0.036,HH,HH
13018,0.39912823713550444,0.112,LL,ns
13019,0.11195076053920713,0.077,HH,ns
13020,1.0803417741485482,0.043,LL,LL
13021,0.22026736143044753,0.075,HH,ns
13022,0.16189659479494858,0.115,HH,ns
13023,0.6114417637895815,0.029,HH,HH
13024,-0.0015505923602834423,0.458,LH,ns
13025,0.008672542611008418,0.499,HH,ns
13026,-0.10556184975994676,0.264,LH,ns
13027,0.40388848950008366,0.033,LL,LL
13028,0.10216478228509765,0.319,HH,ns
