CVEGEO,local_I,p_sim,quadrant,cluster
14022,-0.07992161272486459,0.332,HL,ns
14023,0.13345802050684094,0.296,HH,ns
14024,-0.00988703681941905,0.425,HL,ns
14025,-0.027600831764125627,0.31,HL,ns
14026,0.0019212901838051694,0.42,HH,ns
14027,0.20673636156759984,0.216,LL,ns
14028,0.3359102390820784,0.115,LL,ns
14029,0.006605376792318971,0.379,LL,ns
14030,0.39255831543850284,0.15,HH,ns
14031,1.5259511131005203,0.036,LL,LL
14032,0.5041902667211603,0.077,LL,ns
14033,-0.02101424430961881,0.014,LH,LH
14034,0.7934751890649874,0.035,LL,LL
14035,0.7382493507809922,0.025,HH,HH
14036,0.15134968455639358,0.221,HH,ns
14037,0.662273535776409,0.04,LL,LL
14038,0.10352739955635931,0.395,LL,ns
14039,0.534128288287275,0.067,HH,ns
14040,0.010563019726239778,0.328,HH,ns
14041,-0.050491248233896106,0.383,HL,ns
14042,0.6287149466990435,0.103,LL,ns
14043,0.2647155357742265,0.248,LL,ns
14044,0.5679999354110149,0.039,HH,HH
14045,0.044042031968530175,0.294,LL,ns
14046,0.018679620323816756,0.436,HH,ns
14047,0.9529267118397562,0.025,HH,HH
14048,0.21887374202055876,0.037,HH,HH
14049,0.32161569377313926,0.185,LL,ns
14050,0.4099782034305134,0.02,HH,HH
14051,-0.12944453524783192,0.016,LH,LH
14052,0.6275292690474343,0.07,LL,ns
14053,1.0565434662596798,0.005,HH,HH
14054,0.7129487327602797,0.046,LL,LL
14055,0.16989317154913153,0.212,HH,ns
14056,0.18253126813262485,0.324,LL,ns
14057,-0.005010635417534091,0.398,LH,ns
14058,-0.04924722936784539,0.191,HL,ns
14059,-0.0012557981191307454,0.421,LH,ns
14060,0.002919592643273575,0.456,LL,ns
14061,0.82467035708952,0.061,LL,ns
14062,0.2390173470395229,0.218,LL,ns
14063,1.2736604198757433,0.017,HH,HH
14064,0.13150992924325974,0.095,HH,ns
14065,0.10947310710284604,0.33,LL,ns
14066,0.5800704228885728,0.084,HH,ns
14067,-0.011940414172762396,0.465,HL,ns
14068,0.24092019562062994,0.187,LL,ns
14069,0.05139763600280346,0.424,LL,ns
14070,1.2671445814367246,0.024,HH,HH
14071,0.17979327559915242,0.401,LL,ns
14072,0.09272239584707556,0.035,HH,HH
14073,0.2053772818519737,0.058,HH,ns
14074,0.16868710658499375,0.161,HH,ns
14075,-0.13014751996737603,0.212,LH,ns
14076,0.6817686864379151,0.032,LL,LL
14077,0.004615473883002424,0.182,HH,ns
14078,0.08253915518084147,0.197,HH,ns
14079,0.1267402567694723,0.227,HH,ns
14080,-0.022633070509964267,0.451,LH,ns
14081,-0.031547587602669104,0.288,LH,ns
