CVEGEO,economic_output
20108,0.902
20109,0.0
20110,0.0
20111,20.323
20112,11.114
20113,15.186
20114,0.0
20115,211.863
20116,12.864
20117,2.256
20118,7.118
20119,0.102
20120,0.0
20121,0.0
20122,1.786
20123,5.135
20124,304.429
20125,1.816
20126,27.466
20127,0.55
20128,8.387
20129,1.371
20130,19.419
20131,116.636
20132,1.285
20133,2.681
20134,34.587
20135,18.971
20136,26.184
20137,0.0
20138,1.904
20139,0.0
20140,0.0
20141,40.885
20142,5.091
20143,34.304
20144,4.617
20145,136.22
20146,3.741
20147,0.0
20148,0.0
20149,6.781
20150,55.241
20151,0.78
20152,3.064
20153,30.479
20154,0.195
20155,3.043
20156,10.867
20157,409.49
20158,0.0
20159,0.0
20160,2.45
20161,0.0
20162,1.09
20163,5.806
20164,5.536
20165,15.027
20166,19.752
20167,2.525
20168,3.494
20169,1.726
20170,3.827
20171,12.188
20172,0.901
20173,1.193
20174,8.576
20175,0.562
20176,7.255
20177,31.037
20178,96.677
20179,5.083
20180,18.168
20181,0.0
20182,1.042
20183,1.417
20184,13977.573
20185,20.501
20186,0.0
20187,1.558
20188,35.841
20189,0.649
20190,65.851
20191,0.0
20192,5.824
20193,10.257
20194,36.644
20195,1.297
20196,1.247
20197,29.102
20198,35.792
20199,0.0
20200,5.969
20201,0.0
20202,21.783
20203,6.431
20204,0.192
20205,4.616
20206,3.71
20207,1.657
20208,7.97
20209,0.597
20210,0.708
20211,0.0
20212,0.0
20213,4.202
20214,3.743
20215,3.819
20216,0.938
20217,0.0
20218,2.143
20219,22.297
20220,0.0
20221,0.0
20222,1.3
20223,0.0
20224,1.772
20225,9.054
20226,3.956
20227,266.502
20228,6.877
20229,2.751
20230,0.623
20231,0.0
20232,53.309
20233,5.482
20234,2.544
20235,15.5
20236,0.0
20237,4.787
20238,1.825
20239,0.0
20240,0.0
20241,11.374
20242,3.259
20243,78.787
20244,5.65
20246,6.384
20247,7.303
20248,40.764
20249,6.001
20250,1.898
20251,1.283
20252,2.436
20253,1.162
20254,4.589
20255,3.976
20256,0.0
20257,1.088
20258,1.606
20259,14.991
20260,5.449
20261,2.463
20262,1.597
20263,17.561
20264,0.31
20265,6.116
20266,9.61
20267,0.0
20268,3.189
20269,5.55
20270,4.343
20271,0.675
20272,17.782
20273,2.443
20274,1.396
20275,9.148
20276,0.0
20277,18.678
20278,61.067
20279,16.435
