CVEGEO,distance_ciit
14090,1119.986940139406
14091,1012.4621202458796
14092,1032.9158723275405
15116,662.2813126546333
15072,594.4234482783644
15003,667.7442994522868
15007,642.9797974644686
15094,512.038671967514
15032,666.8792924010803
15081,560.5189027078701
15071,672.7148622007641
15070,539.778787337692
15026,624.9036790187205
15061,537.9036790187205
15057,580.7493500861693
15120,574.4894654563474
15110,653.6660889654837
15030,543.8914857099004
15044,573.1757569573625
15093,530.7199128346466
15108,573.2762620207508
15111,665.1930009000652
15016,535.4183976444818
15112,611.9331162702432
15113,598.5533905932754
15123,671.8965363437829
15074,661.6194077712584
15125,566.6904755831239
15053,575.9331162702432
15055,598.7371567773491
15073,593.6660889654837
15015,500.2813126546334
15014,654.6610383316012
15056,629.7615433949894
15054,601.3940110268417
15076,597.2224381515879
15060,598.7909806465121
15083,525.3229432149761
15024,578.5189027078701
15059,570.7615433949894
15009,504.42344827836445
15067,604.50670939905
15031,542.6782822743038
15092,548.104689145497
15066,670.3523804664989
15098,587.0092347159913
15025,523.2224381515879
15077,635.5533905932754
15078,671.6660889654837
15096,586.6316010800784
15104,572.0630585851542
15107,583.8549057834401
15100,549.9625535217659
15082,648.5828278447981
15058,550.6782822743038
15064,677.832611206855
15109,572.7909806465121
15023,589.2468247692279
15040,593.168614282425
15039,521.364573775319
15005,633.4356415871845
15086,636.5239533417526
15042,639.7199128346466
15049,585.1097397793795
15052,572.4112549695444
15103,510.1513703397224
15050,522.766594028872
15101,580.6660889654837
15090,597.5239533417526
15062,582.8082245892148
15105,637.6711395993663
15068,509.45288552988717
15080,618.3696244092015
15106,611.4650788387072
15118,621.7371567773491
15036,577.1168824543171
15013,583.8914857099004
15124,676.9625535217659
15117,599.9554108468284
15046,593.4062043356618
15115,598.0924958366769
15045,638.6021638285557
15006,587.2518754031106
15012,589.0803025278568
15034,499.38181771802164
15041,673.3940110268417
15017,515.4234482783644
15102,645.8031739553322
15089,521.6660889654837
15029,535.2640687119307
15087,614.1635636485424
15069,540.3056992722735
15084,554.9036790187205
15119,576.6833329081863
15008,645.7127701597091
15011,550.4772721475273
15121,583.0336213336315
15075,545.3473298326163
15018,603.2518754031106
15019,585.7371567773491
15020,568.7909806465121
15022,523.9797974644686
15047,622.7199128346466
15001,665.1168824543171
15048,647.5189027078701
15028,543.7199128346466
15063,569.6244584051409
15051,593.9503602129458
15085,679.6316010800784
15088,585.5533905932754
15027,595.3229432149761
15122,536.0508652763341
15099,533.1635636485424
15004,609.9259735953057
15043,573.6660889654837
15035,593.9036790187205
15065,532.4478348960046
15079,632.2590180780481
15010,590.3595231414364
15037,581.6072144624383
15038,600.4772721475273
15091,582.0041840821087
15033,560.7199128346466
15097,622.8965363437829
15114,653.0924958366769
15095,594.3473298326163
15021,609.310749906156
15002,550.6194077712584
16045,964.702668891944
16093,690.0041840821087
16092,717.8670990922602
16088,791.6610383316012
16085,908.1463197058398
16084,929.974746830586
16074,983.9158723275406
16055,853.7249634685292
16061,693.8914857099004
16073,825.8620484583777
16104,948.5310960166902
16089,935.2813126546333
16103,963.1585130146599
16102,873.2640687119307
16071,843.9158723275406
16064,866.8670990922602
16063,864.9453095790633
16062,949.572726577033
16060,895.1290757631372
16059,834.4234482783644
16058,880.6072144624383
16057,763.5239533417526
16056,858.376767084139
16079,826.364573775319
16078,789.6021638285557
16018,803.2173875177053
16019,949.7615433949894
16020,794.1168824543171
16021,897.8620484583777
16022,769.6194077712584
16067,881.5016587651675
16072,754.5189027078701
16086,934.5432893255103
16087,846.2935059634534
16047,707.2640687119307
16046,693.636651713961
16012,912.4945160902299
16065,878.7909806465121
16066,822.7493500861693
16068,911.7493500861693
16069,908.6143571373758
16070,882.8031739553322
16083,893.2935059634534
16002,912.0264786586939
16094,893.9453095790633
16095,933.7909806465121
16100,823.1341263970197
16105,948.9575028878834
16101,747.8498551495576
16111,851.4356415871845
16034,732.1341263970197
16017,699.2884553295709
16016,839.4183976444818
16015,941.4701294725897
16014,1000.7838379715746
16053,796.6194077712584
16052,839.5462479183378
16051,991.0163773909288
16050,718.974746830586
16049,770.7077195258265
16042,936.572726577033
16041,715.104689145497
16038,732.2274887854703
16037,829.974746830586
16036,811.5310960166902
16035,826.9259735953057
16023,935.6021638285557
16025,889.2468247692279
16040,766.1757569573625
