CVEGEO,dist_min_ports
13001,230.576076489668
13002,230.37936635473577
13049,159.7511950964527
13003,236.22324869291486
13030,232.75400930760932
13023,253.40222791082246
13004,212.07728481295158
13027,189.63048483960318
13022,255.2198006115542
13020,194.67664754656923
13074,274.66054556892027
13070,270.6683429196162
13018,165.1870000882421
13029,277.4018515995802
13071,188.86281942123009
13076,285.78413056747587
13046,129.6698049945048
13065,268.7305380719659
13061,257.0262108339542
13047,202.32371070205767
13078,156.85161402483175
13063,300.1702136058716
13017,273.50835999180856
13083,267.608582138078
13072,266.9149471768969
13067,270.3762034616233
13026,149.9416359397327
13062,162.9303078965952
13044,289.35207776265537
13016,241.46401655322433
13015,218.18467730673981
13014,161.74648426589744
13068,174.3216873598394
13084,225.1313170877763
13081,189.08238411281474
13043,209.07093162900486
13066,273.29201224589286
13013,286.40875318121834
13025,136.49990473364974
13048,252.99006470351432
13038,239.469205288444
13052,260.30891552218907
13037,207.72711139861488
13036,202.78270044301456
13053,196.54250788205385
13012,222.90792126368368
13011,141.66484966225462
13010,278.09278967865015
13009,245.57492710691238
13008,249.69448093391944
13007,237.95928064026938
13006,256.7368483816962
13054,245.0476734696088
13055,231.33574784444178
13080,153.88223770478206
13079,176.99764938890198
13035,222.5811997761381
13073,154.58616961793228
13034,165.28091860787856
13019,254.78142458679085
13077,237.2600844533159
13051,255.11157468014022
13082,267.109171961784
13064,275.1753782164013
13024,231.5512526338658
13041,259.8601984449309
13060,210.54643166997604
13059,261.4571064248561
13032,137.05420176730695
13058,243.19167351091914
13057,255.4666757269072
13050,251.24640344371755
13056,247.7185195079621
13042,177.37813828722025
13040,178.4684522775984
13069,285.72200706741006
13039,244.41463306261323
13033,183.77727755813012
14018,237.50214132191493
14097,183.84477775095087
14114,161.1605722687254
14113,94.74856394477273
14112,165.575198033425
14111,273.5093382992454
14110,104.32298914255387
14109,336.1192595138702
14124,219.9146461601431
14065,98.8632160799792
14116,297.5922904962928
14117,270.599755285617
14118,246.480508504215
14119,152.56141256130792
14014,137.12413709279033
14015,76.52183143778454
14017,107.29946201082055
14043,76.98539332505699
14106,75.71001295190456
14107,165.4729678871614
14108,101.90024120592348
14115,222.50815612646505
14075,107.25458160650714
14077,141.35614861883857
14078,295.28146879888226
14074,311.61905585698673
14076,184.43140536319518
14069,173.36601807941744
14123,213.48022490109005
14122,77.89896941392979
14121,119.86927531810703
14120,183.0281117950404
14002,169.12337896525588
14003,136.57576386709172
14005,160.61960581232714
14055,129.6309167654442
14086,114.80225328695256
14098,197.77660328570488
14025,258.41866480429206
14027,42.44697737225433
14028,91.6826862880596
14101,208.43257914548164
14022,40.120765119540565
14039,198.91302249622885
14044,188.39906306332492
14051,200.89253488361925
14070,199.18744590014245
14125,268.02704430924587
14071,186.87513024262293
14068,93.85782281805568
14067,11.391153591558696
14066,200.9934636358515
14064,388.3560418104389
14063,223.668973831059
14062,83.92884654848237
14061,217.27879223339656
14060,267.89524113204493
14059,160.42077365975044
14058,45.48991187897328
14057,166.11182376548075
14056,164.02176170671336
14054,90.18792611175121
14053,362.0104966161257
14052,114.73535925008024
14050,168.55428096465192
14031,203.274367341867
14049,154.01225359944135
14048,289.20658820918607
14047,218.42348376895526
14046,292.8649389762089
14045,211.81638006413337
14042,254.7238278747498
14041,278.6551041225288
14040,129.86274308626508
14038,85.81372541443292
14037,83.86399266152934
14036,117.2348229404324
14035,332.75687343139754
14034,98.35424915152738
14033,273.0715816668361
14004,127.69149952921393
14019,193.2202250678573
14001,240.55086894808395
14006,121.8924658161449
14007,130.1483253528882
14008,283.802812544785
14009,163.5117689800254
14072,320.3520530401737
14080,49.132166467924044
14081,273.95836348327373
14082,117.34439412093082
14083,162.8828343615345
14084,49.02627264397102
14085,138.5958444689293
14087,119.74793240516014
14088,134.3730935047511
14089,138.9334379585284
14094,160.75206729614064
14095,147.17745299746997
14096,176.138970281771
14032,122.8608789209337
14030,178.52319293148008
14029,233.1316860923314
14026,153.12002656866338
14024,150.80532283043595
14023,111.71161954456826
14021,63.07803591819674
14020,37.751553337293416
14016,260.8618380031248
14011,107.60221946244035
14013,249.09412472096372
14010,138.3878346278597
14012,80.11685946619947
14073,314.4427892271724
14079,129.7510170273136
14093,256.83630387375393
14099,68.65642160712942
14100,74.38275394218579
14102,96.09773861681754
14103,92.25692097737709
14104,233.79558747596718
14105,233.26935935592905
14090,122.20621724900047
14091,294.3736851683679
14092,154.96365595440992
15116,237.30177311028683
15072,305.4248153482728
15003,310.1505347444689
15007,272.2767790386835
15094,285.75874265865764
15032,259.09597692256847
15081,301.7001444072823
15071,301.09030851016166
15070,296.25679145291315
