,CVEGEO,crime
1461,20445,0
1462,20446,0
1463,20447,3
1464,20448,0
1465,20449,1
1466,20450,0
1467,20451,0
1468,20452,1
1469,20453,5
1470,20454,2
1471,20455,1
1472,20456,3
1473,20457,1
1474,20458,1
1475,20459,3
1476,20460,0
1477,20461,1
1478,20462,7
1479,20463,1
1480,20464,0
1481,20465,0
1482,20466,4
1483,20467,7
1484,20468,1
1485,20469,17
1486,20470,0
1487,20471,0
1488,20472,4
1489,20473,0
1490,20474,2
1491,20475,11
1492,20476,1
1493,20477,0
1494,20478,0
1495,20479,0
1496,20480,0
1497,20481,0
1498,20482,59
1499,20483,14
1500,20484,0
1501,20485,0
1502,20486,6
1503,20487,1
1504,20488,0
1505,20489,0
1506,20490,0
1507,20491,0
1508,20492,1
1509,20493,0
1510,20494,0
1511,20495,0
1512,20496,1
1513,20497,1
1514,20498,3
1515,20499,0
1516,20500,1
1517,20501,1
1518,20502,2
1519,20503,0
1520,20504,1
1521,20505,3
1522,20506,0
1523,20507,1
1524,20508,3
1525,20509,0
1526,20510,1
1527,20511,3
1528,20512,0
1529,20513,3
1530,20514,0
1531,20515,186
1532,20516,0
1533,20517,2
1534,20518,0
1535,20519,1
1536,20520,2
1537,20521,0
1538,20522,0
1539,20523,3
1540,20524,0
1541,20525,9
1542,20526,2
1543,20527,0
1544,20528,0
1545,20529,0
1546,20530,2
1547,20531,2
1548,20532,0
1549,20533,1
1550,20534,0
1551,20535,0
1552,20536,0
1553,20537,3
1554,20538,0
1555,20539,11
1556,20540,8
1557,20541,0
1558,20542,1
1559,20543,0
1560,20544,1
1561,20545,20
1562,20546,3
1563,20547,1
1564,20548,15
1565,20549,2
1566,20550,3
1567,20551,82
1568,20552,0
1569,20553,26
1570,20554,0
1571,20555,2
1572,20556,0
1573,20557,3
1574,20558,0
1575,20559,13
1576,20560,3
1577,20561,0
1578,20562,0
1579,20563,1
1580,20564,0
1581,20565,98
1582,20566,0
1583,20567,0
1584,20568,8
1585,20569,0
1586,20570,55
1587,20999,0
1588,21001,170
1589,21002,9
1590,21003,43
1591,21004,317
1592,21005,1
1593,21006,9
1594,21007,2
1595,21008,40
1596,21009,1
1597,21010,51
1598,21011,0
1599,21012,13
1600,21013,39
1601,21014,1
1602,21015,892
1603,21016,6
1604,21017,28
1605,21018,3
1606,21019,643
1607,21020,7
1608,21021,1
1609,21022,21
1610,21023,20
1611,21024,2
1612,21025,5
1613,21026,29
1614,21027,1
1615,21028,1
1616,21029,0
1617,21030,1
1618,21031,5
1619,21032,0
1620,21033,10
1621,21034,411
1622,21035,13
1623,21036,6
1624,21037,1
1625,21038,56
1626,21039,2
1627,21040,25
1628,21041,772
1629,21042,1
1630,21043,36
1631,21044,54
1632,21045,165
1633,21046,9
1634,21047,21
1635,21048,13
1636,21049,9
1637,21050,10
1638,21051,55
1639,21052,0
1640,21053,276
1641,21054,31
1642,21055,6
1643,21056,0
1644,21057,11
1645,21058,15
1646,21059,8
1647,21060,5
1648,21061,9
1649,21062,2
1650,21063,353
1651,21064,8
1652,21065,34
1653,21066,2
1654,21067,36
1655,21068,1
1656,21069,16
1657,21070,5
1658,21071,368
1659,21072,8
1660,21073,6
1661,21074,484
1662,21075,4
1663,21076,49
1664,21077,0
1665,21078,3
1666,21079,12
1667,21080,1
1668,21081,2
1669,21082,8
1670,21083,8
1671,21084,0
1672,21085,168
1673,21086,21
1674,21087,3
1675,21088,2
1676,21089,2
1677,21090,109
1678,21091,11
1679,21092,2
1680,21093,5
1681,21094,139
1682,21095,2
1683,21096,40
1684,21097,1
1685,21098,8
1686,21099,37
1687,21100,4
1688,21101,2
1689,21102,15
1690,21103,13
1691,21104,54
1692,21105,10
1693,21106,55
1694,21107,1
1695,21108,121
1696,21109,8
1697,21110,192
1698,21111,8
1699,21112,11
1700,21113,7
1701,21114,8484
1702,21115,143
1703,21116,15
1704,21117,53
1705,21118,57
1706,21119,908
1707,21120,5
1708,21121,1
1709,21122,24
1710,21123,0
1711,21124,20
1712,21125,32
1713,21126,5
1714,21127,2
1715,21128,63
1716,21129,38
1717,21130,20
1718,21131,1
1719,21132,1028
1720,21133,0
1721,21134,48
1722,21135,0
1723,21136,205
1724,21137,29
1725,21138,11
1726,21139,2
1727,21140,513
1728,21141,2
1729,21142,79
1730,21143,141
1731,21144,153
1732,21145,1
1733,21146,1
1734,21147,3
1735,21148,26
1736,21149,46
1737,21150,7
1738,21151,5
1739,21152,21
1740,21153,56
1741,21154,433
1742,21155,9
1743,21156,695
1744,21157,30
1745,21158,3
1746,21159,2
1747,21160,1
1748,21161,49
1749,21162,1
1750,21163,22
1751,21164,278
1752,21165,0
1753,21166,16
1754,21167,3
1755,21168,12
1756,21169,26
1757,21170,111
1758,21171,10
1759,21172,27
1760,21173,6
1761,21174,122
1762,21175,28
1763,21176,14
1764,21177,80
1765,21178,6
1766,21179,27
1767,21180,120
1768,21181,22
1769,21182,7
1770,21183,25
1771,21184,1
1772,21185,16
1773,21186,52
1774,21187,3
1775,21188,14
1776,21189,58
1777,21190,1
1778,21191,11
1779,21192,0
1780,21193,6
1781,21194,43
1782,21195,14
1783,21196,3
1784,21197,135
1785,21198,0
1786,21199,36
1787,21200,1
1788,21201,5
1789,21202,9
1790,21203,5
1791,21204,4
1792,21205,29
1793,21206,6
1794,21207,33
1795,21208,265
1796,21209,14
1797,21210,1
1798,21211,32
1799,21212,16
1800,21213,3
1801,21214,22
1802,21215,3
1803,21216,0
1804,21217,4
1805,22001,149
1806,22002,22
1807,22003,19
1808,22004,131
1809,22005,234
1810,22006,977
1811,22007,136
1812,22008,127
1813,22009,74
1814,22010,18
1815,22011,1288
1816,22012,270
1817,22013,27
1818,22014,8750
1819,22015,17
1820,22016,1362
1821,22017,299
1822,22018,59
1823,22998,5
1824,23001,642
1825,23002,347
1826,23003,147
1827,23004,1382
1828,23005,6661
1829,23006,96
1830,23007,100
1831,23008,2883
1832,23009,543
1833,23010,249
1834,23011,235
1835,24001,51
1836,24002,9
1837,24003,55
1838,24004,6
1839,24005,50
1840,24006,10
1841,24007,56
1842,24008,58
1843,24009,29
1844,24010,73
1845,24011,142
1846,24012,22
1847,24013,657
1848,24014,22
1849,24015,42
1850,24016,94
1851,24017,38
1852,24018,27
1853,24019,2
1854,24020,376
1855,24021,163
1856,24022,40
1857,24023,29
