CVEGEO,pv_mean_annual_kwh
13004,1364.369969367981
13027,1269.1049993038177
13022,1755.285005569458
13020,1330.4249930381775
13074,1822.8099846839905
13070,1839.599986076355
13018,1269.4699728488922
13029,1802.735047340393
13071,1268.3749651908875
13076,1807.4800515174866
13046,1366.195011138916
13065,1757.4750208854675
13061,1791.0550236701965
13047,1253.0450320243835
13078,1401.5999686717987
13063,1753.459963798523
13017,1775.3599429130554
13083,1804.5599150657654
13072,1829.7450041770935
13067,1826.0949206352234
13026,1319.8399770259857
13062,1253.410005569458
13044,1808.9399456977844
13016,1699.440050125122
13015,1539.5699763298035
13014,1296.8449902534485
13068,1275.674958229065
13084,1456.7149770259857
13081,1345.0249791145325
13043,1473.870038986206
13066,1843.980016708374
13013,1810.0350403785706
13025,1427.5150048732758
13048,1774.265022277832
13038,1646.5150570869446
13052,1780.4699206352234
13037,1422.4050271511078
13036,1391.3800132274628
13053,1239.539966583252
13012,1524.2400431632996
13011,1420.9449589252472
13010,1779.7399735450745
13009,1696.885061264038
13008,1814.4150710105896
13007,1711.485047340393
13006,1778.2800793647766
13054,1775.3599429130554
13055,1701.6300654411316
13080,1442.845025062561
13079,1374.5900118350983
13035,1738.130030632019
13073,1213.9899909496307
13034,1365.4649770259857
13019,1773.9000487327576
13077,1735.575041770935
13051,1818.4299540519714
13082,1865.1500487327576
13064,1799.084963798523
13024,1645.054988861084
13041,1810.400013923645
13060,1315.8250069618225
13059,1731.924958229065
13032,1409.265022277832
13058,1758.9349150657654
13057,1709.660005569458
13050,1777.1849846839905
13056,1731.195011138916
13042,1365.1000034809113
13040,1319.8399770259857
13069,1864.419927597046
13039,1690.679988861084
13033,1326.0449624061584
14018,1847.6299262046814
14097,1738.859977722168
14114,1760.0300097465515
14113,1538.47505569458
14112,1665.1299262046814
14111,1813.684949874878
14110,1723.530044555664
14109,1847.9950737953186
14124,1683.015022277832
14065,1600.159935951233
14116,1877.1950459480286
14117,1815.509991645813
14118,1769.155044555664
14119,1723.1650710105896
14014,1688.854947090149
14015,1611.1100125312805
14017,1615.4900431632996
14043,1667.6849150657654
14106,1564.02494430542
14107,1762.220025062561
14108,1564.3899178504944
14115,1607.4599289894104
14075,1781.5650153160095
14077,1762.94997215271
14078,1841.0600543022156
14074,1863.689980506897
14076,1622.0599150657654
14069,1676.080002784729
14123,1833.760061264038
14122,1454.5249617099762
14121,1752.3650431632996
14120,1579.720025062561
14002,1703.820080757141
14003,1784.484977722168
14005,1746.8899178504944
14055,1771.710033416748
14086,1659.654974937439
14098,1856.3899874687195
14025,1756.014952659607
14027,1521.320080757141
14028,1638.8499164581299
14101,1784.1200041770935
14022,1691.0449624061584
14039,1735.9400153160095
14044,1796.529974937439
14051,1820.9849429130554
14070,1836.315050125122
14125,1811.8600821495056
14071,1651.6250348091125
14068,1529.714994430542
14067,1519.1300654411316
14066,1800.180058479309
14064,1842.154974937439
14063,1830.4749512672424
14062,1708.5650849342346
14061,1445.7649874687195
14060,1844.709963798523
14059,1684.4749164581299
14058,1587.384991645813
14057,1759.665036201477
14056,1662.209963798523
14054,1749.445080757141
14053,1737.034935951233
14052,1664.035005569458
14050,1745.065050125122
14031,1699.0750765800476
14049,1662.5749373435974
14048,1838.870038986206
14047,1869.5300793647766
14046,1860.405044555664
14045,1593.590064048767
14042,1748.349986076355
