CVEGEO,water_availability
13066,0.0
13013,0.0
13025,8.071
13048,0.0
13038,0.0
13052,0.0
13037,0.302078
13036,9.456009
13053,12.840719
13012,4.463735
13011,8.071
13010,30.462743
13009,53.144093
13008,23.526769
13007,23.526769
13006,30.462743
13054,53.144093
13055,53.144093
13080,8.071
13079,9.456009
13035,0.0
13073,7.447469
13034,7.447469
13019,30.462743
13077,0.0
13051,0.0
13082,0.0
13064,30.462743
13024,0.0
13041,30.462743
13060,0.0
13059,0.0
13032,3.470966
13058,13.653593
13057,0.0
13050,30.462743
13056,0.0
13042,7.447469
13040,0.399755
13069,0.0
13039,0.0
13033,4.195399
14018,0.0
14097,0.0
14114,0.0
14113,0.0
14112,0.0
14111,0.0
14110,0.0
14109,0.0
14124,0.0
14065,4.480262
14116,0.0
14117,0.0
14118,0.0
14119,0.0
14014,0.0
14015,3.682467
14017,0.0
14043,0.0
14106,0.0
14107,0.0
14108,0.527467
14115,8.259542
14075,0.0
14077,2.208133
14078,0.0
14074,0.0
14076,6.350523
14069,0.0
14123,0.0
14122,0.588234
14121,0.0
14120,0.0
14002,0.0
14003,0.0
14005,0.0
14055,0.0
14086,0.0
14098,0.0
14025,6.350523
14027,0.0
14028,1.935336
14101,0.0
14022,1.192573
14039,0.0
14044,2.862133
14051,0.0
14070,0.0
14125,0.0
14071,0.0
14068,16.181773
14067,0.3743
14066,0.0
14064,0.0
14063,0.0
14062,2.208133
14061,0.0
14060,0.0
14059,0.0
14058,1.753788
14057,0.0
14056,2.606066
14054,0.0
14053,0.0
14052,0.0
14050,0.0
14031,6.350523
14049,80.042898
14048,0.0
14047,0.0
14046,0.0
14045,0.0
14042,0.0
14041,8.259542
14040,0.0
14038,1.424735
14037,0.0
14036,0.0
14035,0.0
14034,0.0
14033,13.496152
14004,0.0
14019,8.259542
14001,0.0
14006,2.208133
14007,0.0
14008,0.0
14009,0.0
14072,0.0
14080,1.424735
14081,8.259542
14082,0.0
14083,0.0
14084,1.935336
14085,0.0
14087,0.0
14088,0.0
14089,0.0
14094,0.0
14095,0.0
14096,0.0
14032,0.0
14030,0.0
14029,0.0
14026,0.0
14024,0.0
14023,0.0
14021,3.682467
14020,1.935336
14016,0.0
14011,2.208133
14013,0.0
14010,0.0
14012,2.208133
14073,0.0
14079,0.0
14093,0.0
14099,0.588234
14100,1.935336
14102,0.0
14103,0.527467
14104,6.350523
14105,0.0
14090,0.0
14091,0.0
14092,0.0
15116,4.586288
15072,0.0
15003,0.0
15007,0.0
15094,0.0
15032,2.061531
15081,0.0
15071,0.0
15070,0.0
15026,0.0
15061,0.0
15057,0.0
15120,0.0
15110,4.586288
15030,0.0
15044,0.0
15093,0.0
15108,0.0
15111,2.061531
15016,2.756391
15112,0.0
15113,0.0
15123,31.919487
15074,0.0
15125,0.0
15053,0.0
15055,0.0
15073,0.0
15015,36.495821
15014,0.0
15056,0.0
15054,0.0
15076,0.0
15060,0.0
15083,0.0
15024,0.0
15059,0.0
15009,0.0
15067,0.0
15031,0.0
15092,0.0
15066,4.586288
15098,0.0
15025,0.0
15077,31.919487
15078,4.586288
15096,0.0
15104,0.0
15107,26.427143
15100,0.0
15082,31.919487
15058,0.0
15064,0.0
15109,0.0
15023,0.0
15040,26.427143
15039,18.017454
15005,0.0
15086,0.0
15042,0.0
15049,0.0
15052,9.055854
15103,18.017454
15050,0.0
15101,0.0
15090,0.0
15062,0.0
15105,31.919487
15068,0.0
15080,31.919487
15106,0.0
15118,0.0
15036,0.0
15013,0.0
15124,2.061531
15117,31.919487
15046,0.0
15115,0.0
15045,0.0
15006,0.0
15012,0.0
15034,0.0
15041,2.061531
15017,0.0
15102,0.0
15089,0.0
15029,0.0
15087,0.0
15069,0.0
15084,0.0
15119,26.427143
15008,31.919487
15011,0.0
15121,0.0
15075,0.0
15018,0.0
15019,0.0
15020,0.0
15022,0.0
15047,0.0
15001,0.0
15048,0.0
15028,0.0
15063,9.055854
15051,0.0
15085,0.0
15088,0.0
15027,0.0
15122,0.0
15099,18.017454
15004,31.919487
15043,19.238514
15035,0.0
15065,0.0
15079,30.462743
15010,30.462743
15037,0.0
15038,0.0
15091,0.0
15033,0.0
15097,31.919487
15114,0.0
15095,0.0
15021,0.0
15002,0.0
16045,0.0
16093,0.0
16092,31.919487
16088,0.0
16085,0.0
16084,0.0
16074,0.0
16055,80.042898
16061,2.061531
16073,0.0
16104,0.0
16089,80.042898
16103,0.0
16102,80.042898
16071,0.0
16064,80.042898
16063,0.0
16062,0.0
16060,13.496152
